epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.9971,0.77795,0.66996,0.93939,0.90737,0.87457,0.94635,0.72889,0.72415,0.63701,1.00356,0.0702655,0.00330383,0.00330383
2,180.982,0.83131,0.68274,0.94515,0.90757,0.87755,0.94212,0.6877,0.77721,0.7059,1.02484,0.0400154,0.00638708,0.00638708
3,272.501,0.93032,0.72313,0.96567,0.90317,0.87245,0.93165,0.64578,0.89458,0.73984,1.09091,0.00881994,0.00852496,0.00852496
4,362.444,0.9543,0.73943,0.9708,0.93595,0.8699,0.94305,0.69719,0.80381,0.64933,1.02993,0.00694428,0.00694428,0.00694428
5,452.958,0.87319,0.71554,0.95558,0.89624,0.85714,0.94158,0.71609,0.73803,0.66094,1.02307,0.00505,0.00505,0.00505
6,542.868,0.83816,0.68853,0.95109,0.90408,0.8852,0.95026,0.73899,0.68845,0.60486,0.98905,0.00315572,0.00315572,0.00315572
7,632.104,0.80493,0.66433,0.94695,0.92289,0.88546,0.95736,0.75418,0.66288,0.5792,0.9754,0.00154982,0.00154982,0.00154982
8,718.031,0.80185,0.6648,0.94934,0.90753,0.89541,0.95745,0.75598,0.66344,0.57306,0.97322,0.000476796,0.000476796,0.000476796
