epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.799,1.17541,0.8301,1.24096,0.86454,0.83673,0.90369,0.54954,1.36804,1.01168,1.39077,0.0673497,9.82456e-05,9.82456e-05
2,206.348,1.15608,0.81127,1.2135,0.88978,0.82398,0.9182,0.60952,1.25947,0.86182,1.29182,0.0341164,0.000198234,0.000198234
3,304.777,1.12999,0.78533,1.21864,0.91197,0.86224,0.92395,0.61738,1.26039,0.79234,1.2919,0.000882968,0.000298173,0.000298173
4,409.866,1.16106,0.79924,1.23311,0.8833,0.88816,0.92756,0.62927,1.24519,0.76706,1.28338,0.000299835,0.000299835,0.000299835
5,512.079,1.13115,0.77531,1.21051,0.88588,0.88776,0.92855,0.63725,1.22518,0.7681,1.27652,0.000299707,0.000299707,0.000299707
6,611.044,1.11453,0.77095,1.20547,0.89237,0.86717,0.92756,0.62462,1.27678,0.76862,1.29261,0.000299542,0.000299542,0.000299542
7,713.604,1.10383,0.75277,1.19693,0.88999,0.8874,0.93321,0.6166,1.32589,0.77312,1.31053,0.000299341,0.000299341,0.000299341
8,813.089,1.11747,0.78346,1.20915,0.89662,0.88505,0.93078,0.6221,1.29112,0.77283,1.29377,0.000299103,0.000299103,0.000299103
9,910.754,1.12399,0.78606,1.2247,0.89485,0.89014,0.93044,0.63454,1.24502,0.75635,1.27438,0.000298829,0.000298829,0.000298829
10,1009.72,1.10726,0.76717,1.20922,0.89064,0.88776,0.93413,0.63418,1.25452,0.76532,1.27606,0.000298519,0.000298519,0.000298519
11,1116.43,1.07973,0.74244,1.19185,0.89596,0.87877,0.9309,0.62898,1.28328,0.76474,1.29198,0.000298172,0.000298172,0.000298172
12,1217.62,1.13087,0.82051,1.21614,0.89501,0.8801,0.93147,0.62078,1.3059,0.76308,1.30074,0.000297789,0.000297789,0.000297789
13,1319.99,1.11376,0.77595,1.21168,0.89344,0.87245,0.93159,0.62827,1.26677,0.75266,1.28376,0.00029737,0.00029737,0.00029737
14,1423.22,1.09675,0.80912,1.21261,0.91544,0.85616,0.93204,0.64032,1.22811,0.74701,1.26888,0.000296915,0.000296915,0.000296915
15,1530.97,1.0802,0.73918,1.18649,0.90445,0.86934,0.93268,0.63691,1.22754,0.74722,1.26604,0.000296424,0.000296424,0.000296424
16,1632.22,1.10997,0.76188,1.21295,0.9167,0.85969,0.93188,0.63028,1.24586,0.76168,1.27405,0.000295897,0.000295897,0.000295897
17,1734.98,1.0692,0.73519,1.18737,0.91027,0.875,0.93241,0.63537,1.24184,0.75706,1.27206,0.000295335,0.000295335,0.000295335
18,1835.32,1.11617,0.76065,1.2138,0.91423,0.87245,0.9349,0.63638,1.24313,0.74318,1.27284,0.000294737,0.000294737,0.000294737
19,1934.52,1.08674,0.75771,1.19121,0.91673,0.86224,0.93568,0.63169,1.25744,0.74607,1.27384,0.000294104,0.000294104,0.000294104
20,2033.79,1.11757,0.77407,1.22132,0.91685,0.87197,0.9375,0.6308,1.25478,0.74624,1.27068,0.000293435,0.000293435,0.000293435
21,2132.85,1.09179,0.7677,1.19657,0.91435,0.87245,0.93692,0.63475,1.25442,0.75288,1.27645,0.000292732,0.000292732,0.000292732
22,2232.33,1.09491,0.75741,1.19665,0.91189,0.87131,0.93356,0.63224,1.27246,0.75014,1.28262,0.000291994,0.000291994,0.000291994
23,2331.46,1.09184,0.75452,1.20531,0.91294,0.86735,0.93545,0.63737,1.24546,0.75583,1.26999,0.000291221,0.000291221,0.000291221
