epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.9724,0.8316,0.75055,0.95984,0.90945,0.89796,0.94977,0.73363,0.71334,0.70805,0.99853,0.0702655,0.00330383,0.00330383
2,177.824,0.86618,0.73848,0.95834,0.9088,0.875,0.94212,0.68014,0.83157,0.74905,1.04904,0.0394441,0.00581582,0.00581582
3,267.438,0.97096,0.7702,0.96994,0.91879,0.87755,0.95431,0.67341,0.87879,0.71969,1.04309,0.00779779,0.0075028,0.0075028
4,355.512,0.97906,0.785,0.97767,0.92291,0.86735,0.94429,0.69151,0.81642,0.70615,1.03631,0.0062875,0.0062875,0.0062875
5,443.068,0.89084,0.75843,0.96637,0.89798,0.875,0.941,0.69817,0.75231,0.68606,1.02466,0.00505,0.00505,0.00505
6,532.868,0.88846,0.74518,0.95999,0.90246,0.8801,0.94729,0.72522,0.71704,0.65884,0.99289,0.0038125,0.0038125,0.0038125
7,626.701,0.86193,0.72809,0.96285,0.93373,0.86258,0.95132,0.72974,0.72641,0.6508,1.00555,0.002575,0.002575,0.002575
8,721.976,0.84328,0.71803,0.96583,0.9294,0.8648,0.94866,0.73726,0.71699,0.63867,0.99509,0.0013375,0.0013375,0.0013375
