epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.366,1.17065,0.81627,1.21885,0.84625,0.73214,0.84698,0.51504,1.44853,2.39983,1.44671,0.0705263,0.00327485,0.00327485
2,202.333,1.2086,0.84821,1.23585,0.89462,0.84463,0.91364,0.59707,1.38507,0.89213,1.41035,0.0405259,0.00660778,0.00660778
3,305.653,1.22642,0.85552,1.26153,0.84527,0.84694,0.89863,0.55149,1.46785,0.99231,1.48537,0.0105239,0.00993909,0.00993909
4,410.74,1.28859,0.9176,1.32527,0.84911,0.85969,0.90954,0.51622,1.41171,1.14303,1.43275,0.0099945,0.0099945,0.0099945
5,516.118,1.25254,0.89629,1.28688,0.84757,0.82143,0.90048,0.50028,1.5608,1.06515,1.47142,0.00999023,0.00999023,0.00999023
6,622.065,1.26189,0.90019,1.27274,0.83837,0.80357,0.87412,0.47997,1.57896,1.02245,1.48284,0.00998474,0.00998474,0.00998474
7,721.873,1.25423,0.89072,1.27757,0.87642,0.83929,0.89588,0.48707,1.72198,1.10305,1.67426,0.00997803,0.00997803,0.00997803
8,822.361,1.26975,0.92097,1.29777,0.83925,0.85241,0.90324,0.5861,1.35601,0.91494,1.36148,0.00997011,0.00997011,0.00997011
9,927.657,1.27072,0.91457,1.31022,0.86976,0.82398,0.89456,0.5121,1.60807,1.19513,1.54291,0.00996097,0.00996097,0.00996097
10,1029.13,1.24672,0.90426,1.29978,0.89815,0.85459,0.90429,0.56878,1.47384,0.93427,1.48601,0.00995062,0.00995062,0.00995062
11,1129.25,1.2268,0.8572,1.27702,0.82639,0.84949,0.90467,0.51918,1.49994,1.11502,1.43954,0.00993906,0.00993906,0.00993906
12,1235.06,1.28925,1.00099,1.30614,0.85211,0.80612,0.88919,0.55104,1.52751,1.14771,1.51151,0.00992629,0.00992629,0.00992629
13,1339.18,1.28096,0.93761,1.31341,0.86023,0.83211,0.90728,0.53493,1.56355,1.1697,1.55706,0.00991232,0.00991232,0.00991232
14,1446.46,1.25793,0.97265,1.31025,0.80527,0.85204,0.87926,0.52329,1.46624,0.9956,1.52497,0.00989715,0.00989715,0.00989715
15,1550.87,1.27062,0.90781,1.29925,0.87852,0.83022,0.91326,0.5636,1.41099,1.05685,1.41895,0.00988079,0.00988079,0.00988079
16,1655.2,1.29688,0.90998,1.32125,0.86323,0.82111,0.89305,0.5459,1.41683,1.1714,1.39791,0.00986323,0.00986323,0.00986323
17,1757.13,1.23917,0.88631,1.2811,0.83202,0.82908,0.9059,0.55722,1.3623,1.01221,1.39087,0.00984449,0.00984449,0.00984449
18,1863.04,1.29122,0.92444,1.31327,0.85969,0.80357,0.88813,0.48432,1.53075,1.13681,1.49879,0.00982456,0.00982456,0.00982456
19,1967.55,1.27858,0.91587,1.29365,0.86874,0.83929,0.906,0.53623,1.53584,1.04007,1.47282,0.00980345,0.00980345,0.00980345
20,2092.55,1.2807,0.91872,1.31643,0.85764,0.81453,0.89352,0.5733,1.30091,1.03394,1.39705,0.00978118,0.00978118,0.00978118
21,2242.96,1.27001,0.91566,1.29991,0.84386,0.85477,0.89581,0.54313,1.47374,0.95012,1.42258,0.00975773,0.00975773,0.00975773
22,2363.92,1.28431,0.894,1.29516,0.84635,0.83163,0.90567,0.52816,1.56591,1.05067,1.51832,0.00973312,0.00973312,0.00973312
23,2492.01,1.28785,0.90605,1.30305,0.85086,0.87326,0.90562,0.5528,1.38316,1.04826,1.41518,0.00970736,0.00970736,0.00970736
24,2612.85,1.25153,0.88564,1.29393,0.89703,0.82226,0.91058,0.57852,1.40323,0.91601,1.46506,0.00968045,0.00968045,0.00968045
25,2727.22,1.24038,0.89584,1.27886,0.85301,0.83929,0.89947,0.51491,1.5603,1.09303,1.47203,0.00965239,0.00965239,0.00965239
26,2836.73,1.25456,0.89078,1.29625,0.84456,0.87324,0.9172,0.55897,1.34103,0.93492,1.34887,0.0096232,0.0096232,0.0096232
27,2941.93,1.24004,0.88149,1.27236,0.85325,0.84439,0.89864,0.47933,1.56446,0.95198,1.44316,0.00959289,0.00959289,0.00959289
28,3046.55,1.29813,0.91832,1.31073,0.82384,0.8699,0.90129,0.60443,1.17273,1.07835,1.29218,0.00956145,0.00956145,0.00956145
29,3147.7,1.31801,0.92828,1.31835,0.85547,0.83929,0.88728,0.531,1.52084,0.96992,1.48235,0.00952889,0.00952889,0.00952889
30,3249.58,1.24787,0.9225,1.29178,0.8266,0.87558,0.89299,0.55485,1.38239,1.12302,1.44974,0.00949524,0.00949524,0.00949524
31,3352.06,1.25995,0.89405,1.30119,0.89949,0.79592,0.89899,0.482,1.59665,1.08657,1.50583,0.00946048,0.00946048,0.00946048
32,3456.47,1.25391,0.88827,1.30352,0.85886,0.85377,0.91246,0.55359,1.43181,0.97892,1.41747,0.00942464,0.00942464,0.00942464
33,3556.95,1.24791,0.90816,1.2918,0.85466,0.85204,0.89822,0.55598,1.40076,0.95445,1.41357,0.00938772,0.00938772,0.00938772
34,3656.56,1.26603,0.91179,1.30391,0.74191,0.83163,0.85807,0.49876,1.4573,1.19607,1.45168,0.00934973,0.00934973,0.00934973
35,3758.55,1.25904,0.9198,1.30531,0.86057,0.82143,0.90134,0.48248,1.61773,1.05624,1.54061,0.00931067,0.00931067,0.00931067
36,3868.15,1.27658,0.90065,1.29989,0.80882,0.82024,0.86201,0.42604,1.8025,1.3093,1.61566,0.00927057,0.00927057,0.00927057
37,3973.56,1.22251,0.85997,1.27575,0.80446,0.82908,0.86908,0.48885,1.47407,1.15897,1.43167,0.00922942,0.00922942,0.00922942
38,4072.67,1.27091,0.91009,1.30811,0.84053,0.8648,0.90043,0.58053,1.3705,0.90484,1.41953,0.00918725,0.00918725,0.00918725
39,4175.38,1.24974,0.88451,1.27545,0.84624,0.87047,0.89368,0.55248,1.52429,0.97101,1.53502,0.00914405,0.00914405,0.00914405
40,4276.06,1.25262,0.8697,1.276,0.88354,0.84439,0.89147,0.47917,1.74375,1.16986,1.61681,0.00909984,0.00909984,0.00909984
41,4378.35,1.24798,0.87728,1.2906,0.86769,0.85969,0.90589,0.57405,1.37367,0.97258,1.39439,0.00905463,0.00905463,0.00905463
42,4478.06,1.29261,0.91036,1.3192,0.84563,0.83845,0.89124,0.55603,1.49468,1.18927,1.47861,0.00900844,0.00900844,0.00900844
43,4577.41,1.28998,0.92349,1.31489,0.8898,0.82908,0.90548,0.52516,1.58878,1.10411,1.53695,0.00896127,0.00896127,0.00896127
44,4679.37,1.23633,0.96388,1.28292,0.87544,0.83418,0.89858,0.505,1.65709,1.02879,1.5894,0.00891313,0.00891313,0.00891313
45,4780.28,1.24376,0.89721,1.29536,0.85958,0.85204,0.90165,0.55223,1.38298,0.97832,1.39392,0.00886404,0.00886404,0.00886404
46,4883.55,1.27346,0.91032,1.3025,0.87085,0.87729,0.91378,0.59703,1.30934,0.94289,1.39468,0.00881401,0.00881401,0.00881401
47,4983.76,1.24669,0.89699,1.28576,0.88058,0.85204,0.91936,0.60494,1.25493,0.907,1.34284,0.00876305,0.00876305,0.00876305
48,5088.94,1.26309,0.88052,1.29054,0.86331,0.85969,0.90243,0.54534,1.49677,0.97966,1.46452,0.00871117,0.00871117,0.00871117
49,5187.58,1.24639,0.88224,1.29461,0.87524,0.85204,0.90951,0.59083,1.28419,0.96141,1.343,0.00865839,0.00865839,0.00865839
50,5286.19,1.2446,0.87649,1.29189,0.89333,0.87589,0.91837,0.57711,1.43612,0.85916,1.45569,0.00860473,0.00860473,0.00860473
51,5384.82,1.24735,0.87342,1.29196,0.87729,0.85721,0.90893,0.56548,1.48437,0.99781,1.48707,0.00855018,0.00855018,0.00855018
52,5493.59,1.22971,0.8501,1.28099,0.88716,0.80357,0.90313,0.47802,1.83711,1.00754,1.68319,0.00849477,0.00849477,0.00849477
53,5592.45,1.20477,0.84797,1.26752,0.88961,0.82231,0.91129,0.61737,1.25137,0.91195,1.3315,0.00843851,0.00843851,0.00843851
54,5691.57,1.25248,0.88975,1.28033,0.90597,0.81108,0.90135,0.5977,1.31507,0.90082,1.37245,0.00838141,0.00838141,0.00838141
55,5789.61,1.22331,0.87232,1.27026,0.86277,0.86611,0.91225,0.58584,1.34382,0.87676,1.37658,0.00832349,0.00832349,0.00832349
56,5887.48,1.22916,0.87897,1.28353,0.80093,0.85187,0.88181,0.52907,1.50196,1.06403,1.45076,0.00826477,0.00826477,0.00826477
57,5986.3,1.2387,0.88932,1.29355,0.83386,0.85786,0.90705,0.58684,1.33509,0.92516,1.37133,0.00820525,0.00820525,0.00820525
58,6090.09,1.2137,0.89288,1.28018,0.84368,0.84949,0.90155,0.55147,1.31108,0.95667,1.37856,0.00814495,0.00814495,0.00814495
59,6192.16,1.2829,0.88189,1.29786,0.85195,0.83418,0.90248,0.54353,1.37247,0.92038,1.41211,0.00808389,0.00808389,0.00808389
60,6293.92,1.23649,0.86816,1.28524,0.89681,0.84252,0.9057,0.56235,1.31414,0.85451,1.37445,0.00802208,0.00802208,0.00802208
61,6402.02,1.23604,0.86792,1.25773,0.90175,0.86634,0.91645,0.55729,1.49075,0.89491,1.4392,0.00795954,0.00795954,0.00795954
62,6510.21,1.21066,0.85061,1.26674,0.91489,0.86735,0.93057,0.55544,1.50013,1.02691,1.46592,0.00789628,0.00789628,0.00789628
63,6610.31,1.21518,0.86698,1.26916,0.84482,0.875,0.9077,0.60205,1.23386,0.88503,1.33267,0.00783231,0.00783231,0.00783231
