epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.277,1.96177,1.98596,1.65232,0.09845,0.1148,0.03804,0.0094,2.95183,13.0913,8.78253,0.0705263,0.00327485,0.00327485
2,241.436,1.99816,1.72861,1.71175,0.00619,0.18112,0.00282,0.00061,3.96076,211.778,16.224,0.0405247,0.00660657,0.00660657
3,359.151,1.94536,1.71692,1.73559,0.3928,0.23469,0.22941,0.10162,2.52699,31.3348,3.22707,0.0105166,0.00993181,0.00993181
4,464.704,1.9353,1.66049,1.72971,0.2053,0.26786,0.11656,0.03803,2.72544,9.26369,2.97973,0.00997803,0.00997803,0.00997803
5,566.931,1.84442,1.55757,1.6359,0.60654,0.58929,0.57143,0.26223,1.91028,3.9784,1.98496,0.00996097,0.00996097,0.00996097
6,670.789,1.79342,1.51096,1.62635,0.70556,0.41327,0.5043,0.24836,2.41324,5.65884,2.41185,0.00993906,0.00993906,0.00993906
7,775.798,1.73169,1.42611,1.55905,0.7047,0.50765,0.59465,0.29734,2.02675,4.561,1.99784,0.00991232,0.00991232,0.00991232
8,883.764,1.7293,1.43322,1.56997,0.78698,0.57653,0.70383,0.31206,1.91843,1.89226,1.94408,0.00988079,0.00988079,0.00988079
9,991.034,1.70301,1.41931,1.57152,0.77866,0.68112,0.75525,0.35214,1.87705,1.8534,1.78748,0.00984449,0.00984449,0.00984449
10,1095.02,1.66237,1.37592,1.51805,0.80204,0.69247,0.78019,0.37199,1.70231,1.68687,1.72315,0.00980345,0.00980345,0.00980345
11,1199.78,1.61429,1.33428,1.51208,0.78333,0.64286,0.72954,0.31568,1.88717,2.0211,1.77204,0.00975773,0.00975773,0.00975773
12,1307.48,1.68494,1.56722,1.54497,0.70672,0.67602,0.69566,0.3098,1.90608,1.58351,1.80544,0.00970736,0.00970736,0.00970736
13,1412.96,1.65183,1.40164,1.5543,0.77109,0.66071,0.74239,0.34024,1.73144,2.29329,1.68315,0.00965239,0.00965239,0.00965239
14,1517.66,1.64009,1.44843,1.5512,0.8501,0.61224,0.7511,0.35549,1.70005,1.72088,1.6586,0.00959289,0.00959289,0.00959289
15,1623.03,1.60435,1.25829,1.50429,0.75028,0.73214,0.776,0.33904,1.88786,2.2597,1.7913,0.00952889,0.00952889,0.00952889
16,1727.98,1.61279,1.2935,1.52556,0.81751,0.67426,0.77135,0.3883,2.07121,1.49565,1.90473,0.00946048,0.00946048,0.00946048
17,1832.79,1.55163,1.24612,1.46575,0.76023,0.68752,0.7663,0.38225,1.89245,1.66908,1.78415,0.00938772,0.00938772,0.00938772
18,1939.11,1.57531,1.25994,1.48189,0.79399,0.68112,0.78395,0.37108,1.90932,1.9088,1.83498,0.00931067,0.00931067,0.00931067
19,2042.65,1.53492,1.22649,1.46747,0.85497,0.75191,0.84275,0.40892,1.73801,1.61214,1.68429,0.00922942,0.00922942,0.00922942
20,2141.94,1.59824,1.25381,1.49263,0.80047,0.70615,0.80193,0.40922,1.699,1.59748,1.63564,0.00914405,0.00914405,0.00914405
21,2241.31,1.54381,1.26214,1.45778,0.79481,0.74235,0.81768,0.41046,1.64118,1.31955,1.61093,0.00905463,0.00905463,0.00905463
22,2340.99,1.57067,1.25303,1.47737,0.75219,0.63265,0.76545,0.3959,1.64301,1.36632,1.62654,0.00896127,0.00896127,0.00896127
23,2440.38,1.53689,1.22439,1.46619,0.8356,0.75205,0.83751,0.42692,1.66517,1.32886,1.63933,0.00886404,0.00886404,0.00886404
24,2539.75,1.51565,1.16813,1.43362,0.8058,0.74096,0.80855,0.36137,1.91438,1.51382,1.77972,0.00876305,0.00876305,0.00876305
25,2639.15,1.4829,1.16618,1.40998,0.84593,0.76531,0.83638,0.40088,1.78936,1.47401,1.66132,0.00865839,0.00865839,0.00865839
26,2738.46,1.52043,1.17749,1.4435,0.79852,0.7602,0.83292,0.46141,1.52513,1.84469,1.51315,0.00855018,0.00855018,0.00855018
27,2837.65,1.49952,1.14912,1.42158,0.77471,0.76276,0.79619,0.36209,1.72591,1.57534,1.6097,0.00843851,0.00843851,0.00843851
28,2936.77,1.51882,1.18698,1.44618,0.84492,0.77834,0.86264,0.46184,1.54878,1.39947,1.55197,0.00832349,0.00832349,0.00832349
