epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.048,1.30663,0.94825,1.29929,0.8399,0.76531,0.84761,0.40126,1.8231,1.61541,1.65961,0.0705263,0.00327485,0.00327485
2,201.38,1.35879,1.0231,1.32109,0.74703,0.74579,0.81004,0.48479,1.48106,1.4336,1.4874,0.0405247,0.00660657,0.00660657
3,300.885,1.39243,1.05438,1.36968,0.79758,0.73469,0.8131,0.45736,1.87839,1.29161,1.78303,0.0105166,0.00993181,0.00993181
4,400.483,1.40993,1.10272,1.39068,0.73326,0.7644,0.81702,0.49413,1.4309,1.76402,1.49389,0.00997803,0.00997803,0.00997803
5,500.029,1.41714,1.07961,1.36958,0.82749,0.79082,0.85419,0.4792,1.43876,1.891,1.48155,0.00996097,0.00996097,0.00996097
6,598.489,1.41258,1.06541,1.37839,0.87627,0.7407,0.83676,0.47065,1.604,1.50649,1.55696,0.00993906,0.00993906,0.00993906
7,696.359,1.37808,1.02318,1.35642,0.81974,0.79337,0.8367,0.39816,1.85337,1.64294,1.63907,0.00991232,0.00991232,0.00991232
8,794.63,1.40972,1.05228,1.37676,0.82178,0.77636,0.85647,0.52389,1.5437,1.18986,1.54617,0.00988079,0.00988079,0.00988079
9,893.809,1.39686,1.07604,1.3996,0.698,0.75765,0.80206,0.48693,1.46532,2.30563,1.57491,0.00984449,0.00984449,0.00984449
10,992.134,1.41057,1.06335,1.39721,0.84197,0.78061,0.8478,0.46916,1.6442,1.48652,1.60463,0.00980345,0.00980345,0.00980345
11,1090.47,1.3489,1.02541,1.35673,0.87234,0.80188,0.88697,0.4164,1.86476,1.23963,1.64092,0.00975773,0.00975773,0.00975773
12,1188.89,1.43277,1.17273,1.38454,0.85812,0.74058,0.85062,0.48579,1.56011,1.37448,1.53666,0.00970736,0.00970736,0.00970736
13,1286.71,1.39678,1.09532,1.39181,0.81012,0.77041,0.84311,0.48639,1.52881,1.33894,1.52771,0.00965239,0.00965239,0.00965239
14,1384.63,1.39233,1.11456,1.3864,0.78684,0.79098,0.84603,0.42133,1.77638,1.28559,1.63749,0.00959289,0.00959289,0.00959289
15,1482.77,1.37587,1.01921,1.352,0.81715,0.77523,0.81947,0.36509,2.00925,1.52804,1.74924,0.00952889,0.00952889,0.00952889
16,1580.75,1.37879,1.03142,1.37704,0.78577,0.7551,0.82519,0.43734,1.70485,1.30508,1.57369,0.00946048,0.00946048,0.00946048
17,1678.79,1.3529,1.00546,1.34601,0.8406,0.79374,0.86428,0.48588,1.58689,1.18821,1.52475,0.00938772,0.00938772,0.00938772
18,1776.96,1.4052,1.04886,1.38472,0.81578,0.76531,0.8555,0.45993,1.63876,1.16963,1.59082,0.00931067,0.00931067,0.00931067
19,1875.28,1.36707,1.02634,1.35525,0.73203,0.76276,0.80633,0.48395,1.44056,1.74305,1.47818,0.00922942,0.00922942,0.00922942
20,1973.26,1.40642,1.03497,1.38749,0.86287,0.77551,0.8771,0.51693,1.34804,1.2276,1.3819,0.00914405,0.00914405,0.00914405
21,2071.52,1.37089,1.02024,1.3615,0.82733,0.75,0.83286,0.45235,1.7507,1.27637,1.61702,0.00905463,0.00905463,0.00905463
22,2170.12,1.37158,1.03142,1.34936,0.83744,0.81479,0.86641,0.48798,1.46029,1.20136,1.45317,0.00896127,0.00896127,0.00896127
23,2268.47,1.35688,1.02681,1.36191,0.88509,0.82528,0.89474,0.50628,1.51154,1.06432,1.49087,0.00886404,0.00886404,0.00886404
24,2366.79,1.33362,0.97768,1.34201,0.86813,0.82908,0.90226,0.52414,1.5216,0.94984,1.48183,0.00876305,0.00876305,0.00876305
25,2464.56,1.32091,0.98755,1.33032,0.88094,0.79847,0.87031,0.46714,1.59351,1.21223,1.52561,0.00865839,0.00865839,0.00865839
26,2562.59,1.37713,1.00936,1.37539,0.84591,0.84439,0.89516,0.51896,1.43962,1.04208,1.47916,0.00855018,0.00855018,0.00855018
27,2660.44,1.34279,1.01,1.33868,0.77649,0.83306,0.85341,0.47483,1.44563,1.27379,1.43147,0.00843851,0.00843851,0.00843851
28,2758.28,1.36871,1.02578,1.35396,0.78633,0.84949,0.8776,0.5196,1.35455,1.24513,1.41308,0.00832349,0.00832349,0.00832349
29,2856.49,1.34869,0.98989,1.33549,0.84906,0.81378,0.87725,0.48428,1.60889,1.43244,1.50122,0.00820525,0.00820525,0.00820525
30,2954.47,1.30911,0.98764,1.323,0.82493,0.85204,0.87876,0.48075,1.67961,1.04455,1.55563,0.00808389,0.00808389,0.00808389
31,3052.73,1.3322,1.00773,1.34091,0.85991,0.83418,0.89277,0.48781,1.49699,1.12174,1.45461,0.00795954,0.00795954,0.00795954
32,3150.67,1.34709,0.98651,1.35598,0.85716,0.82667,0.89973,0.51242,1.47165,0.99316,1.40696,0.00783231,0.00783231,0.00783231
33,3248.71,1.32515,0.97823,1.3339,0.84221,0.85784,0.89429,0.50763,1.50689,0.98942,1.45963,0.00770234,0.00770234,0.00770234
34,3346.5,1.32187,0.97893,1.33551,0.89103,0.83929,0.9066,0.48989,1.56089,0.95252,1.47858,0.00756976,0.00756976,0.00756976
35,3444.74,1.31359,0.96485,1.31976,0.8289,0.85714,0.9079,0.53938,1.49306,1.00452,1.50906,0.00743468,0.00743468,0.00743468
36,3543.01,1.31766,0.96104,1.32375,0.85187,0.85088,0.88778,0.47596,1.7036,1.14017,1.54725,0.00729725,0.00729725,0.00729725
37,3641,1.28453,0.92769,1.30783,0.85946,0.85714,0.89291,0.46146,1.70632,1.15244,1.53845,0.00715761,0.00715761,0.00715761
38,3738.5,1.32385,0.97234,1.33901,0.84892,0.81705,0.88909,0.54766,1.49537,0.96324,1.45521,0.00701588,0.00701588,0.00701588
39,3836.33,1.31099,0.95461,1.30906,0.81814,0.81888,0.86314,0.48168,1.83325,1.10616,1.73803,0.00687222,0.00687222,0.00687222
40,3935.08,1.31978,0.95193,1.31019,0.84317,0.85032,0.89041,0.47419,1.77434,1.13441,1.60256,0.00672675,0.00672675,0.00672675
41,4032.87,1.30841,0.94612,1.32008,0.83636,0.80834,0.88415,0.56029,1.34291,1.04622,1.37954,0.00657963,0.00657963,0.00657963
42,4130.82,1.3496,0.9953,1.34355,0.85725,0.84259,0.90291,0.48243,1.69509,1.0467,1.52267,0.00643101,0.00643101,0.00643101
43,4229.16,1.31811,0.99012,1.33058,0.83584,0.87026,0.90299,0.49406,1.63548,1.08001,1.48931,0.00628101,0.00628101,0.00628101
44,4327.11,1.27825,1.05876,1.29993,0.8637,0.85678,0.89855,0.51315,1.60939,0.99907,1.50363,0.00612981,0.00612981,0.00612981
45,4424.98,1.26796,0.92617,1.29634,0.84949,0.8801,0.89835,0.50829,1.49509,1.03796,1.42541,0.00597754,0.00597754,0.00597754
46,4522.61,1.32629,0.96161,1.32645,0.8407,0.83472,0.88639,0.53092,1.40621,1.05096,1.42449,0.00582435,0.00582435,0.00582435
47,4620.31,1.28202,0.93264,1.29657,0.83898,0.86399,0.89449,0.49764,1.69192,0.99243,1.52801,0.0056704,0.0056704,0.0056704
48,4718.41,1.28205,0.92893,1.29103,0.84704,0.84763,0.89216,0.53563,1.41611,0.93471,1.39351,0.00551584,0.00551584,0.00551584
49,4815.75,1.23342,0.9036,1.27466,0.88176,0.86224,0.91567,0.587,1.27497,0.87913,1.3176,0.00536081,0.00536081,0.00536081
50,4913.98,1.27202,0.90413,1.29377,0.87821,0.85969,0.91936,0.58663,1.38183,0.84904,1.40105,0.00520548,0.00520548,0.00520548
