epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.0401,1.5393,1.21318,1.29628,0.16454,0.18878,0.09589,0.03218,2.29861,5.78799,2.26656,0.0705263,0.00327485,0.00327485
2,184.483,1.55141,1.21762,1.3107,0.20914,0.16327,0.07782,0.02277,2.68743,4.57949,2.64093,0.0405106,0.00659244,0.00659244
3,279.24,1.62234,1.29742,1.37899,0.19928,0.21429,0.13976,0.0482,2.70503,3.28315,2.64769,0.0104318,0.00984696,0.00984696
4,371.57,1.58293,1.26875,1.359,0.34266,0.15816,0.14229,0.05182,2.64094,3.00228,2.41453,0.00978685,0.00978685,0.00978685
5,465.267,1.49497,1.15912,1.31122,0.68831,0.50255,0.58039,0.28934,1.87692,2.08887,1.80746,0.0096232,0.0096232,0.0096232
6,559.871,1.49084,1.144,1.3082,0.77362,0.59184,0.70742,0.32301,2.05285,1.62183,1.91316,0.00941551,0.00941551,0.00941551
7,654.266,1.4683,1.13722,1.25769,0.58703,0.38801,0.46302,0.18663,2.21183,2.28087,1.89208,0.00916577,0.00916577,0.00916577
8,746.767,1.45688,1.13755,1.27229,0.69119,0.61735,0.69769,0.3405,1.84378,1.49055,1.63254,0.0088764,0.0088764,0.0088764
9,839.212,1.42699,1.13314,1.25996,0.79878,0.69876,0.77781,0.39265,1.73626,1.59245,1.5614,0.00855018,0.00855018,0.00855018
10,931.425,1.43845,1.1157,1.25656,0.78922,0.76276,0.81951,0.44442,1.57929,1.76369,1.46261,0.00819025,0.00819025,0.00819025
11,1023.44,1.37639,1.04643,1.217,0.81013,0.78371,0.84216,0.45273,1.65286,1.26459,1.50902,0.00780007,0.00780007,0.00780007
12,1116.17,1.39788,1.08967,1.25637,0.86208,0.74944,0.83649,0.42605,1.63791,1.27539,1.51388,0.00738341,0.00738341,0.00738341
13,1208.52,1.34909,1.03711,1.22438,0.88949,0.80867,0.88382,0.51047,1.39123,1.1939,1.32862,0.00694428,0.00694428,0.00694428
14,1301.24,1.34177,1.0291,1.21958,0.88715,0.81122,0.87589,0.42426,1.67947,1.24011,1.44832,0.00648691,0.00648691,0.00648691
15,1394.59,1.32909,1.01241,1.18824,0.9196,0.81693,0.91044,0.49964,1.64108,1.0384,1.46236,0.0060157,0.0060157,0.0060157
16,1487.57,1.31183,0.99426,1.1968,0.89835,0.74396,0.8577,0.41596,1.82964,1.30856,1.57163,0.00553518,0.00553518,0.00553518
17,1580.01,1.27499,0.97021,1.17067,0.88833,0.79592,0.86761,0.43283,1.8208,1.11079,1.56531,0.00505,0.00505,0.00505
18,1673.56,1.30168,0.98576,1.2006,0.87629,0.85969,0.90307,0.51849,1.46803,1.07348,1.38091,0.00456482,0.00456482,0.00456482
19,1765.93,1.2616,1.05068,1.15772,0.89352,0.83484,0.91449,0.50959,1.51995,0.99711,1.35997,0.0040843,0.0040843,0.0040843
20,1858.03,1.2459,0.93859,1.14875,0.85615,0.83673,0.90664,0.5455,1.35018,1.03704,1.3065,0.00361309,0.00361309,0.00361309
21,1950.48,1.2585,0.9504,1.17008,0.88059,0.85969,0.9161,0.52486,1.46058,0.9931,1.3216,0.00315572,0.00315572,0.00315572
22,2042.89,1.21351,0.92257,1.14042,0.8732,0.86735,0.91115,0.51679,1.55651,1.00752,1.39888,0.00271659,0.00271659,0.00271659
23,2132.58,1.07639,0.80942,1.07538,0.87445,0.87061,0.91766,0.55476,1.3471,0.96592,1.30333,0.00229993,0.00229993,0.00229993
24,2223.34,1.07078,0.78642,1.05361,0.88883,0.85666,0.92253,0.57975,1.32709,0.92278,1.2816,0.00190975,0.00190975,0.00190975
25,2315.74,1.04211,0.75889,1.04343,0.90287,0.87734,0.93221,0.53758,1.44392,0.93119,1.30841,0.00154982,0.00154982,0.00154982
26,2405.57,1.04285,0.7587,1.0394,0.89328,0.88265,0.93194,0.59775,1.27852,0.89666,1.25285,0.0012236,0.0012236,0.0012236
27,2498.84,1.03419,0.76507,1.03555,0.91138,0.8658,0.93074,0.56925,1.36328,0.884,1.26569,0.000934225,0.000934225,0.000934225
28,2595.02,1.00874,0.73568,1.02868,0.91676,0.87092,0.93394,0.61416,1.21203,0.86269,1.20899,0.00068449,0.00068449,0.00068449
29,2692.26,1.02296,0.7394,1.03302,0.90307,0.875,0.93674,0.56013,1.42091,0.88376,1.28059,0.000476796,0.000476796,0.000476796
30,2787.42,1.00756,0.72728,1.01987,0.90692,0.8801,0.93942,0.58581,1.30516,0.85067,1.23335,0.000313145,0.000313145,0.000313145
31,2881.01,1.01468,0.76227,1.02924,0.90322,0.88091,0.93878,0.60945,1.23182,0.83331,1.20744,0.000195113,0.000195113,0.000195113
32,2969.93,1.00695,0.74546,1.04587,0.90239,0.8801,0.93877,0.6093,1.24018,0.83404,1.21506,0.000123836,0.000123836,0.000123836
