epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.298,1.23507,2.19156,1.1298,0.86854,0.70787,0.77288,0.56619,0.8426,1.81685,1.0293,0.0702655,0.00330383,0.00330383
2,190.081,1.22736,1.35659,1.10665,0.86584,0.72959,0.82568,0.52256,1.00127,1.30927,1.08802,0.0394441,0.00581582,0.00581582
3,287.249,1.22014,1.25841,1.08038,0.91105,0.83163,0.89378,0.60969,0.87757,1.20834,1.07394,0.00779779,0.0075028,0.0075028
4,380.83,1.20141,1.17737,1.07602,0.86644,0.83163,0.88331,0.59734,0.92416,1.17267,1.07594,0.0062875,0.0062875,0.0062875
5,475.322,1.11705,1.13749,1.06006,0.88105,0.82653,0.90482,0.67546,0.81095,1.07856,1.06864,0.00505,0.00505,0.00505
6,569.742,1.04772,1.04913,1.02205,0.87071,0.85714,0.92477,0.70136,0.77725,0.9806,1.02655,0.0038125,0.0038125,0.0038125
7,665.326,1.00107,1.00385,1.01694,0.94674,0.82143,0.93508,0.72834,0.74431,0.91028,1.01686,0.002575,0.002575,0.002575
8,758.483,0.94674,0.94869,0.99806,0.92343,0.84694,0.935,0.72136,0.72342,0.90379,1.00688,0.0013375,0.0013375,0.0013375
