epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.4201,0.93807,0.93836,0.99993,0.93302,0.81378,0.93278,0.71629,0.75975,0.82041,1.0274,0.0702655,0.00330383,0.00330383
2,184.21,0.99507,0.89594,1.00977,0.90852,0.86137,0.92997,0.67263,0.83885,0.81356,1.03425,0.0394441,0.00581582,0.00581582
3,274.836,1.05499,0.90076,1.00861,0.86308,0.86835,0.91835,0.63869,0.90325,0.83868,1.07239,0.00779779,0.0075028,0.0075028
4,368.176,1.05326,0.90056,1.01009,0.93231,0.8433,0.93308,0.69188,0.79298,0.76457,1.01732,0.0062875,0.0062875,0.0062875
5,461.81,0.98837,0.87485,1.00045,0.90787,0.87979,0.93292,0.70608,0.7644,0.7639,1.02269,0.00505,0.00505,0.00505
6,560.214,0.94903,0.8343,0.98299,0.91505,0.85969,0.94184,0.71707,0.7391,0.75657,1.00653,0.0038125,0.0038125,0.0038125
7,657.004,0.9291,0.81727,0.98548,0.88684,0.90051,0.94787,0.73501,0.71002,0.71887,1.00075,0.002575,0.002575,0.002575
8,752.382,0.88172,0.79207,0.97829,0.90302,0.8852,0.94443,0.73853,0.70195,0.71691,0.99495,0.0013375,0.0013375,0.0013375
