epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.72,1.22083,0.85224,1.24985,0.83724,0.78734,0.86499,0.44863,1.69394,1.68905,1.53012,0.0705263,0.00327485,0.00327485
2,205.374,1.27488,0.90634,1.27093,0.81376,0.8648,0.90158,0.54904,1.45958,0.95388,1.4052,0.0405247,0.00660657,0.00660657
3,306.159,1.2901,0.92176,1.30265,0.8358,0.85699,0.87755,0.49449,1.58165,1.11468,1.52607,0.0105166,0.00993181,0.00993181
4,407.117,1.33463,0.96701,1.3459,0.8362,0.85954,0.88615,0.48388,1.53288,1.30157,1.48062,0.00997803,0.00997803,0.00997803
5,508.685,1.31638,0.95108,1.31685,0.84439,0.81633,0.89452,0.50196,1.44017,1.07294,1.39341,0.00996097,0.00996097,0.00996097
6,609.316,1.3299,0.96764,1.32081,0.83178,0.84694,0.87686,0.49706,1.53625,1.02163,1.4404,0.00993906,0.00993906,0.00993906
7,710.743,1.29266,0.935,1.30664,0.83241,0.76024,0.84478,0.41716,1.86991,1.23629,1.62703,0.00991232,0.00991232,0.00991232
8,810.564,1.3162,0.97749,1.32185,0.82068,0.82653,0.88835,0.5498,1.52157,1.08108,1.48275,0.00988079,0.00988079,0.00988079
9,910.177,1.3339,0.96388,1.35074,0.83318,0.81543,0.87707,0.55478,1.31465,1.85433,1.39189,0.00984449,0.00984449,0.00984449
10,1008.99,1.31575,0.96258,1.32793,0.84827,0.79082,0.87032,0.51382,1.50526,1.12971,1.45641,0.00980345,0.00980345,0.00980345
11,1108.39,1.28218,0.91444,1.31058,0.86109,0.77296,0.8748,0.38398,1.97798,1.30371,1.74983,0.00975773,0.00975773,0.00975773
12,1208.2,1.37474,1.07705,1.3427,0.82521,0.80612,0.86087,0.50627,1.52631,1.2078,1.48597,0.00970736,0.00970736,0.00970736
13,1308.33,1.33518,0.97795,1.3435,0.8503,0.83163,0.87916,0.4909,1.52029,1.07519,1.45949,0.00965239,0.00965239,0.00965239
14,1408.08,1.30283,1.0117,1.32622,0.85411,0.82398,0.87028,0.49191,1.64509,1.10859,1.5698,0.00959289,0.00959289,0.00959289
15,1508.28,1.28122,0.918,1.30018,0.84543,0.79847,0.87511,0.50424,1.49013,1.17633,1.46193,0.00952889,0.00952889,0.00952889
16,1607.44,1.31396,0.9405,1.32538,0.81707,0.7976,0.87287,0.51818,1.38697,1.60055,1.36945,0.00946048,0.00946048,0.00946048
17,1706.92,1.2837,0.93777,1.30309,0.82699,0.80612,0.84167,0.43022,1.93945,1.28122,1.7296,0.00938772,0.00938772,0.00938772
18,1807.93,1.32742,0.96167,1.33362,0.86981,0.83418,0.90296,0.47896,1.60454,1.09881,1.49699,0.00931067,0.00931067,0.00931067
19,1907.88,1.29475,0.96104,1.3073,0.8694,0.81515,0.88796,0.46272,1.67779,1.13805,1.5668,0.00922942,0.00922942,0.00922942
20,2007.64,1.32827,0.96676,1.34219,0.82601,0.83929,0.8894,0.52439,1.44922,1.11431,1.44918,0.00914405,0.00914405,0.00914405
21,2107.49,1.29399,0.94988,1.31639,0.83059,0.82653,0.87325,0.51389,1.58963,1.06097,1.48865,0.00905463,0.00905463,0.00905463
22,2207.8,1.31529,0.92921,1.31744,0.87179,0.84998,0.90532,0.52962,1.50118,1.00228,1.41668,0.00896127,0.00896127,0.00896127
23,2307.76,1.29774,0.927,1.3208,0.8262,0.81888,0.89044,0.50141,1.57658,1.07019,1.51105,0.00886404,0.00886404,0.00886404
24,2407.57,1.2856,0.9133,1.30278,0.84199,0.8292,0.87953,0.52089,1.50382,1.01649,1.46981,0.00876305,0.00876305,0.00876305
25,2507.6,1.26874,0.91854,1.28349,0.83559,0.84274,0.8946,0.5666,1.34715,0.98704,1.40362,0.00865839,0.00865839,0.00865839
26,2607.53,1.28811,0.92303,1.31771,0.823,0.83929,0.89695,0.54374,1.35225,1.10954,1.39328,0.00855018,0.00855018,0.00855018
